ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft,city_population
783,PT,Elm Creek,Dayton,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,1972.41,11065.0
785,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,False,Upper Ironwood Trail,84.93,
789,PT,Cleary,Credit River Twp.,Snow Only,16.0,,"Hike, Snowshoe, Dog (On-Leash), Dog sled, Skijor, Cross-country Skate/Classic",False,,3196.5,
790,PT,Baker,Medina,Snow Only,14.0,,Cross-country Skate/Classic,False,,1199.91,7102.0
791,PT,Baker,Medina,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1041.55,7102.0
813,PT,Lake Minnetonka,Minnetrista,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,33.0,8946.0
824,PT,French,Plymouth,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",Cross-country Skate/Classic,False,Meadow Trail,312.61,76546.0
842,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1193.95,76546.0
843,PT,French,Plymouth,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,9.84,76546.0
846,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1001.61,76546.0
848,PT,Carver,Victoria,Woodchip,8.0,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,,3045.55,11768.0
849,PT,Elm Creek,Champlin,Gravel,2.0,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",False,,5793.65,22523.0
857,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,217.48,10217.0
857,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,217.48,92.0
858,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1253.07,10217.0
858,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,1253.07,92.0
859,PT,Not In Park,Coon Rapids,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,197.92,63306.0
