ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft
60029,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Charlie's Special,37.57
60030,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Charlie's Special,7.3
60031,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Charlie's Special,196.5
60032,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,25.99
60033,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,20.12
60034,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,57.64
60035,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,18.75
60036,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,31.46
60037,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,77.21
60038,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,47.61
60039,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,23.17
60040,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,25.76
60041,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,14.11
60042,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,29.44
60043,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,58.11
60044,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Reaper,59.52
60045,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Reaper,345.54
60046,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Reaper,217.36
60047,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,Reaper,133.98
60048,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Charlie's Special,119.84
60049,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Charlie's Special,24.22
60050,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,36.17
60051,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,61.48
60052,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,John's Jam,48.28
60053,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,John's Jam,25.11
60054,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",False,,28.63
60056,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,John's Jam,80.06
60058,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Bale Out,33.5
60059,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Reaper,37.92
60060,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,Reaper,45.61
60061,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced Technical Features","Hike, Mtn Bike: Advanced Technical Features",False,Bale Out,416.12
60062,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Intermediate Technical Features","Hike, Mtn Bike: Intermediate Technical Features",False,Thresh It,377.55
60063,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Bale Out,46.82
60065,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Reaper,8.61
60066,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Bale Out,9.2
60068,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,,10.63
60070,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,,18.38
60071,PT,Carver,Laketown Twp.,,,"Hike, Mtn Bike: Advanced and Intermediate Technical Features","Hike, Mtn Bike: Advanced and Intermediate Technical Features",False,Reaper,26.07
60072,RT,Not In Park,Wayzata,Bituminous,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,Dakota Rail Regional Trail,1453.24
60073,RT,Not In Park,Wayzata,Bituminous,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,Dakota Rail Regional Trail,273.94
60074,RT,Not In Park,Wayzata,Bituminous,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,Dakota Rail Regional Trail,62.09
60075,RT,Not In Park,Wayzata,Bituminous,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,Dakota Rail Regional Trail,1356.58
60076,RT,Not In Park,Wayzata,Bituminous,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,Dakota Rail Regional Trail,37.42
60077,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,283.9
60079,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,236.93
60080,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,409.76
60082,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,107.19
60084,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,416.97
60085,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,310.23
60086,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,9.58
60088,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,329.69
60090,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,46.75
60091,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,181.8
60092,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,128.74
60093,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,934.31
60095,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,18.54
60098,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,380.81
60099,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,151.87
60100,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,28.52
60101,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,119.31
60103,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,124.35
60104,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,505.34
60105,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,69.22
60109,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,68.19
60110,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,43.33
60111,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,171.54
60112,PT,Spring Lake Park,Prior Lake,,,Boardwalk,Boardwalk,False,,75.21
60113,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,41.51
60114,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,8.05
60115,PT,Spring Lake Park,Prior Lake,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,11.3
60117,PT,,,,,Boardwalk,Boardwalk,False,,142.63
60118,PT,,,,,Boardwalk,Boardwalk,False,,34.25
60119,PT,,,,,Boardwalk,Boardwalk,False,,100.67
60120,PT,,,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,94.9
60121,PT,,,,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",False,,54.63
60123,PT,Lake Rebecca,Greenfield,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",False,,194.22
60124,PT,Spring Lake Park,Prior Lake,Snow Only,10.0,,Snowmobile,False,,417.67
60125,PT,Spring Lake Park,Prior Lake,Snow Only,10.0,,Snowmobile,False,,64.5
60126,PT,Carver,Laketown Twp.,Dirt/Minimum Maintenance,12.0,,Cross-country Skate/Classic,False,,498.66
