ObjectID,TRPDClassification,Park,City,County,TrailSurface,Width_ft,DataGrade,DataSource,GlobalID,created_date,last_edited_date,MapWebWinter,MapWebSummer,Summer_Type,Winter_Type,Plowed,Name_OfficialSummer_Primary,Name_OfficialWinter_Primary,Shape_Length
1322,Park Trail,Fish,Maple Grove,Hennepin,Mowed,12,Low Mapping,GPS Collection,{E905CABD-D636-46EC-A43D-F0C30951F67D},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",,,,999.194095266302
1329,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{31593680-C991-460A-821F-40EFE51CC9B9},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,12.151812216862
1330,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{4397D440-77E2-4BC9-B3D3-B6B36E84E698},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,7.18734717470635
1331,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Crosswalk,0,Low Mapping,GPS Collection,{EA3E62C1-4B42-44CB-9660-F21FB44BABF5},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,8.13941584335632
1332,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{512DB229-5A9B-46EE-9294-27F723659F17},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,73.9764032122626
1333,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,0,Low Mapping,GPS Collection,{E875E31A-CE00-4434-8172-E0A02F3515F1},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,114.198170395179
1334,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{15F53110-08AB-4772-BAC3-B2CAAE43C2BE},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,208.928463350239
1335,Park Trail,Carver,Laketown Twp.,Carver,Tunnel,10,Low Mapping,GPS Collection,{23C7A3D7-3BDE-423C-9A1E-93DF6FA3D636},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,27.8482339930035
1336,Park Trail,Carver,Victoria,Carver,Bituminous,10,Low Mapping,GPS Collection,{21C5206E-6318-4D63-80AB-1DB0CAD7BBA5},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,310.808630288129
1337,Park Trail,Lake Rebecca,Greenfield,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{ADAF1821-3339-48E0-BEB5-BBF53B47DF63},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",,,,897.232708465992
1338,Park Trail,Lake Rebecca,Independence,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{E0E588D2-49C5-4F4D-827C-7057EB170424},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",,,,27.0643735301668
1339,Park Trail,Lake Rebecca,Independence,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{50B62B1E-22A8-4232-90F7-566D037CC17D},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",,,,679.890654339794
1348,Park Trail,Fish,Maple Grove,Hennepin,Gravel,16,Low Mapping,GPS Collection,{D49CA518-08C3-4898-AC6B-D091A7BF5809},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",,,,307.567432147414
1350,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{FB04FBED-2486-4EE0-97B7-0064A1121523},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,41.143543443202
1352,Park Trail,Lake Rebecca,Greenfield,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{95FFE881-2D27-4A18-8FB6-2AFF2B8B94BA},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",,,,923.069115337139
1354,Park Trail,Murphy-Hanrehan,Savage,Scott,Gravel,2,Low Mapping,GPS Collection,{39475122-4BBE-4FCC-A4F4-60A2CBF5B589},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: More Difficult","Hike, Mtn Bike: More Difficult",,,,121.736441918191
1355,Park Trail,Murphy-Hanrehan,Credit River Twp.,Scott,Gravel,2,Low Mapping,GPS Collection,{08A79F5B-E669-4EF3-BB67-405BF1E91C2C},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",,,,774.449514570877
1362,Park Trail,Silverwood,St. Anthony,Ramsey,Bituminous,10,Low Mapping,GPS Collection,{5551225C-938A-4AA7-8591-7D1175E9DFB9},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,40.6902084302548
1363,Park Trail,Elm Creek,Champlin,Hennepin,Gravel,2,Low Mapping,GPS Collection,{4A6C339E-5A39-4EBC-B237-E8DC2EC6567E},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: More Difficult","Hike, Mtn Bike: More Difficult",,,,944.008550686066
1365,Park Trail,Bryant,Eden Prairie,Hennepin,Crosswalk,0,Low Mapping,GPS Collection,{8DA37EFE-AD55-4965-9A82-0B862B1FC373},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,10.5523569930112
1366,Park Trail,Carver,Laketown Twp.,Carver,Mowed,12,Low Mapping,GPS Collection,{43B7452C-F9F0-42E7-BA2B-292A2415D30E},,2024/08/16 17:34:42+00,YES,NO,,Snowmobile,,,,755.921434787569
1368,Park Trail,Gale Woods,Minnetrista,Hennepin,Gravel,12,Low Mapping,GPS Collection,{E469CF84-7243-4B7C-869C-76EF0586B8B2},,2024/08/16 17:34:27+00,YES,YES,Aggregate Hike,"Hike, Snowshoe, Cross-country Skate/Classic",,,,434.695447443954
1372,Park Trail,Eagle,Plymouth,Hennepin,Snow Only,16,Low Mapping,GPS Collection,{0FAB9ED1-334B-4FAF-BE5C-48CC1334CE51},,2024/08/16 17:34:42+00,YES,NO,,Cross-country Skate/Classic,,,,285.262086583845
1373,Park Trail,Cleary,Credit River Twp.,Scott,Mowed,12,Low Mapping,GPS Collection,{F1AC6D40-5CAB-4AF3-A35D-DB66A8E4ABAD},,2024/08/16 17:34:27+00,NO,YES,"Unpaved Hike, Dog (On-Leash)",,,,,76.6209104489877
1374,Park Trail,Not In Park,Coon Rapids,Anoka,Bituminous,10,Low Mapping,Aerial Based HUD,{84E2A905-9D8D-4C54-A643-ECE80686AD80},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,79.7301219119608
1391,Park Trail,Elm Creek,Champlin,Hennepin,Gravel,2,Low Mapping,GPS Collection,{038BC9F0-A6FD-4E72-AF91-3C39DA56053C},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: More Difficult","Hike, Mtn Bike: More Difficult",,,,937.809629283811
1395,Park Trail,Fish,Maple Grove,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{FB3234FC-3D38-40F4-A8F6-F8581C369BEA},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,306.465913731497
1396,Park Trail,Fish,Maple Grove,Hennepin,Bituminous,0,Low Mapping,GPS Collection,{725CAEF9-F774-456F-805C-A8250DD07466},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,3.22021483298575
